query_number,query_text,matched_codes,match_count
3660,"AND([CivFADistMinRev] <= '0.1',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green',[WhitePhosphorusOverallFlag] == 'Green',[NuclearPowerRevShareMin] <= '0.1',[AlcoholTotalProdMinRev] <= '0.1',[NBSOverallFlag] IN 'Amber|Green',[FossilFuelTotCoalProdRevShareMax] <= '0.1',[PornographyDistMaxRev] <= '0.1',[PornographyProdMaxRev] <= '0.1',[TobaccoProdMaxRev] <= '0.1',NOT ([GICSSubIndustry] IN 'Oil & Gas Exploration & Production'),NOT ([GICSSubIndustry] IN 'Diversified Metals & Mining'),[CoalMiningRevShareMaxMetallurgical] < '0.1',[CoalMiningRevShareMaxThermal] < '0.1',[CountryOfIncorporation] == 'Japan')",NBSOverallFlag,1
3661,"AND([CivFADistMinRev] <= '0.1',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green',[WhitePhosphorusOverallFlag] == 'Green',[NuclearPowerRevShareMin] <= '0.1',[AlcoholTotalProdMinRev] <= '0.1',[NBSOverallFlag] IN 'Amber|Green',[FossilFuelTotCoalProdRevShareMax] <= '0.1',[PornographyDistMaxRev] <= '0.1',[PornographyProdMaxRev] <= '0.1',[TobaccoProdMaxRev] <= '0.1',NOT ([GICSSubIndustry] IN 'Oil & Gas Exploration & Production'),NOT ([GICSSubIndustry] IN 'Diversified Metals & Mining'),[CoalMiningRevShareMaxMetallurgical] < '0.1',[CoalMiningRevShareMaxThermal] < '0.1')",NBSOverallFlag,1
3663,"AND([CivFADistMinRev] <= '0.15',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green',[WhitePhosphorusOverallFlag] == 'Green',[NBSOverallFlag] IN 'Amber|Green',[SDGROverall] >= '-10',[MilitaryEqmtDistMaxRev] < '0.15',[MilitaryEqmtProdServMaxRev] < '0.15',[PalmOilInvolvement] NONE 'Grower (Production)|Processor (Production)|User (Production)|Distribution',[NuclearPowerInvolvement] NONE 'Production',NOT ([CountryOfIncorporation] IN 'France'),[NuclearPowerServRevShareMax] <= '0.05',[TobaccoRevShareMax] < '0.15')",NBSOverallFlag,1
3664,"AND([CivFADistMinRev] <= '0.15',[APMinesOverallFlag] == 'Green',[BiologicalWeaponsOverallFlag] == 'Green',[ChemicalWeaponsOverallFlag] == 'Green',[ClusterMunitionsOverallFlag] == 'Green',[DepletedUraniumOverallFlag] == 'Green',[IncendiaryWeaponsOverallFlag] == 'Green',[NuclearWeaponsOverallFlag] == 'Green',[NuclearWeaponsNonNPTOverallFlag] == 'Green',[WhitePhosphorusOverallFlag] == 'Green',[NuclearPowerRevShareMin] <= '0.15',[NBSOverallFlag] IN 'Amber|Green',[TobaccoProdMaxRev] <= '0.15',[SDGROverall] > '0',[PalmOilRevShareMax] <= '0.15',[PalmOilUserSigInvolvement] NONE 'Less than 10%')",NBSOverallFlag,1
3711,"AND([ClimateCarbonBudgetSDSDegExcdYear] == 'The issuer is aligned with the Sustainable Development Scenario (SDS) for the full analyzed period (until 2050).',[oekomPerformanceScore] >= '50',[SDGROverall] > '0',[CWRSelectedRatioByWeightRed] < '0.01',NOT ([NBSOverallFlag] IN 'RED'))",NBSOverallFlag,1
3712,"AND([ClimateCarbonBudgetSDSDegExcdYear] == 'The issuer is aligned with the Sustainable Development Scenario (SDS) for the full analyzed period (until 2050).',[oekomPerformanceScore] >= '50',[SDGROverall] > '0',[CWRSelectedRatioByWeightRed] == '0',NOT ([NBSOverallFlag] IN 'RED'))",NBSOverallFlag,1
3729,"AND([ClimateCNIEmissionsSource] IN 'Modelled Emissions',[NBSOverallFlag] == 'Green')",NBSOverallFlag,1
3784,"AND([ClimatePhysRiskScoreRiskMgmt] > '10',[ClimateAvePeerEmissionsIntUSD] > '0',[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution',[CRCorpGovRating] IN 'D+|D|D-',[ESGRatingDecileRank] > '1',[oekomGovRatingNumeric] > '0',[NBSTotalReds] > '0')",FossilFuelInvolvement,1
3905,"AND([ClimateTotalEmissions] > '0',NOT ([ClimateCNIEmissionsSource] IN 'Modelled Emissions'),[NBSOverallFlag] == 'Green')",NBSOverallFlag,1
3969,"AND([CoalMiningAndPowGenRevShareMin] >= '0',[CoalMiningDisclosure] IN 'Company Reported|Calculated/Estimated',[CoalMiningRisk] ANY 'Production|Exploration|Distribution|Services',[CoalMiningServMinRev] >= '0',[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services',[FossilFuelDisclosure] IN 'Company Reported|Calculated/Estimated',[FossilFuelRevShareInterval] IN '[0-0%]|(0-1%)|[1-5%)|[5-10%)|[10-15%)|[15-20%)|[20-25%)|[25-50%)|[50-100%]',[FossilFuelRisk] ANY 'Production|Exploration|Distribution|Services',[FossilFuelGasExtractRevShareMin] >= '0',[FossilFuelGasPowerRevShareMin] >= '0',[FossilFuelGasRefProcRevShareMin] >= '0',[FossilFuelTotGasProdRevShareMin] >= '0',[FossilFuelTotGasProdRevShareMin] >= '0',[FossilFuelOilExtractRevShareMin] >= '0',[FossilFuelOilPowerRevShareMin] >= '0',[FossilFuelOilRefProcRevShareMin] >= '0',[FossilFuelTotOilProdRevShareMin] >= '0')",FossilFuelInvolvement,1
3992,"AND([CoalMiningInvolvement] ANY 'Production|Exploration|Distribution|Services',[EnergyExtractivesInvolvement] ANY 'Energy|Extractives|Other',[FossilFuelInvolvement] ANY 'Production|Exploration|Distribution|Services',[NBSTotalReds] > '0')",FossilFuelInvolvement,1
